"id","mechanic"
171623,"Worker Placement with Dice Workers"
164153,"Dice Rolling"
164153,"Die Icon Resolution"
164153,"Grid Movement"
164153,"Line of Sight"
164153,"Modular Board"
164153,"Role Playing"
164153,"Scenario / Mission / Campaign Game"
164153,"Square Grid"
164153,"Team-Based Game"
164153,"Variable Player Powers"
233867,"Bingo"
233867,"Contracts"
233867,"Paper-and-Pencil"
233867,"Pattern Building"
233867,"Simultaneous Action Selection"
233867,"Solo / Solitaire Game"
104006,"Area Majority / Influence"
104006,"Contracts"
104006,"Set Collection"
104006,"Turn Order: Claim Action"
104006,"Worker Placement"
104006,"Worker Placement Different Worker Types"
143741,"Dice Rolling"
143741,"Hidden Roles"
143741,"Player Elimination"
143741,"Push Your Luck"
143741,"Re-rolling and Locking"
143741,"Team-Based Game"
143741,"Variable Player Powers"
28720,"Hand Management"
28720,"Income"
28720,"Loans"
28720,"Market"
28720,"Network and Route Building"
28720,"Score-and-Reset Game"
28720,"Tech Trees / Tech Tracks"
28720,"Turn Order: Stat-Based"
107529,"Area Majority / Influence"
107529,"Chaining"
107529,"Enclosure"
107529,"Hexagon Grid"
107529,"Modular Board"
107529,"Variable Set-up"
188834,"Hidden Roles"
188834,"Player Elimination"
188834,"Team-Based Game"
188834,"Traitor Game"
188834,"Voting"
129437,"Deck Bag and Pool Building"
129437,"Events"
129437,"Semi-Cooperative Game"
129437,"Solo / Solitaire Game"
129437,"Variable Set-up"
236457,"Drafting"
236457,"Solo / Solitaire Game"
236457,"Variable Player Powers"
236457,"Worker Placement"
209685,"Action Retrieval"
209685,"Card Drafting"
209685,"Contracts"
209685,"Deck Bag and Pool Building"
209685,"Hand Management"
209685,"Increase Value of Unchosen Resources"
209685,"Set Collection"
73439,"Area Majority / Influence"
73439,"Dice Rolling"
73439,"End Game Bonuses"
73439,"Hidden Victory Points"
73439,"Lose a Turn"
73439,"Ownership"
73439,"Set Collection"
73439,"Solo / Solitaire Game"
73439,"Turn Order: Progressive"
73439,"Worker Placement"
73439,"Worker Placement with Dice Workers"
73439,"Worker Placement Different Worker Types"
122515,"Auction/Bidding"
122515,"Auction: Fixed Placement"
122515,"Constrained Bidding"
122515,"End Game Bonuses"
122515,"Hexagon Grid"
122515,"Modular Board"
122515,"Multiple-Lot Auction"
122515,"Network and Route Building"
122515,"Ownership"
122515,"Set Collection"
122515,"Tile Placement"
122515,"Turn Order: Auction"
122515,"Variable Set-up"
122515,"Worker Placement"
122515,"Worker Placement Different Worker Types"
177736,"Automatic Resource Growth"
177736,"Dice Rolling"
177736,"Grid Coverage"
177736,"Income"
177736,"Push Your Luck"
177736,"Solo / Solitaire Game"
177736,"Tile Placement"
177736,"Turn Order: Pass Order"
177736,"Worker Placement"
8203,"Grid Movement"
8203,"Hexagon Grid"
8203,"Map Reduction"
8203,"Modular Board"
37046,"Cooperative Game"
37046,"Dice Rolling"
37046,"Grid Movement"
37046,"Modular Board"
37046,"Move Through Deck"
37046,"Solo / Solitaire Game"
37046,"Variable Player Powers"
116,"Card Drafting"
116,"Hand Management"
116,"Set Collection"
116,"Take That"
12,"Auction/Bidding"
12,"Auction: Once Around"
12,"Closed Economy Auction"
12,"Constrained Bidding"
12,"Push Your Luck"
12,"Set Collection"
161970,"Action Drafting"
161970,"Card Drafting"
161970,"Constrained Bidding"
161970,"Deduction"
161970,"End Game Bonuses"
161970,"Events"
161970,"Hand Management"
161970,"Turn Order: Progressive"
166384,"Acting"
166384,"Communication Limits"
166384,"Memory"
166384,"Role Playing"
166384,"Roles with Asymmetric Information"
166384,"Targeted Clues"
166384,"Traitor Game"
166384,"Voting"
220308,"End Game Bonuses"
220308,"Hexagon Grid"
